county,cnty_fips,c_tot_pop_c,c_tot_death_c,c_tot_lfex_c,c_tot_low_c,c_tot_up_c,c_tot_pop_h,c_tot_death_h,c_tot_lfex_h,c_tot_low_h,c_tot_up_h,c_tot_pop_b,c_tot_death_b,c_tot_lfex_b,c_tot_low_b,c_tot_up_b,c_tot_pop_w,c_tot_death_w,c_tot_lfex_w,c_tot_low_w,c_tot_up_w,c_fem_pop_c,c_fem_death_c,c_fem_lfex_c,c_fem_low_c,c_fem_up_c,c_fem_pop_h,c_fem_death_h,c_fem_lfex_h,c_fem_low_h,c_fem_up_h,c_fem_pop_b,c_fem_death_b,c_fem_lfex_b,c_fem_low_b,c_fem_up_b,c_fem_pop_w,c_fem_death_w,c_fem_lfex_w,c_fem_low_w,c_fem_up_w,c_mal_pop_c,c_mal_death_c,c_mal_lfex_c,c_mal_low_c,c_mal_up_c,c_mal_pop_h,c_mal_death_h,c_mal_lfex_h,c_mal_low_h,c_mal_up_h,c_mal_pop_b,c_mal_death_b,c_mal_lfex_b,c_mal_low_b,c_mal_up_b,c_mal_pop_w,c_mal_death_w,c_mal_lfex_w,c_mal_low_w,c_mal_up_w
Ellis,48139,139704.3,9880,78.16,77.90000000000001,78.41,32952.199,809,80.93000000000001,80.11,81.77,12457.2,962,74.66,73.73,75.60000000000001,94294.898,8109,78.18000000000001,77.88,78.46000000000001,70783.898,5032,80.22,79.87000000000001,80.54000000000001,,,,,,6469.4502,480,77.29000000000001,76.01000000000001,78.54000000000001,48272.801,4194,80.21000000000001,79.81,80.59,68920.398,4848,76.03,75.66,76.38,16910.551,451,78.7,77.54000000000001,79.90000000000001,5987.75,482,71.93000000000001,70.56,73.29000000000001,46022.102,3915,76.10000000000001,75.69,76.52
Erath,48143,35461.852,3097,78.2,77.71000000000001,78.69,,,,,,,,,,,28368.85,2969,77.62000000000001,77.07000000000001,78.16,18046.949,1598,80.66,80,81.29000000000001,,,,,,,,,,,14565.05,1553,80.07000000000001,79.32000000000001,80.79000000000001,17414.9,1499,75.67,74.96000000000001,76.38,,,,,,,,,,,13803.8,1416,75.21000000000001,74.45,75.98
Falls,48145,16492.9,1960,75.94,75.22,76.66,,,,,,4521.5,499,72.52,71.13,73.90000000000001,8530.1504,1321,76.02,74.91,77.07000000000001,8723.6504,994,79.01000000000001,78.05,80.01000000000001,,,,,,,,,,,4546.0498,651,79.78,78.37000000000001,81.18000000000001,7769.25,966,72.68000000000001,71.63,73.7,,,,,,,,,,,3984.1001,670,72.39,70.8,73.90000000000001
Fannin,48147,30677.65,4127,74.59,74.09,75.10000000000001,,,,,,,,,,,25934.699,3904,74.15000000000001,73.61,74.69,14365.9,1890,77.3,76.56,78.05,,,,,,,,,,,12759,1807,77.05,76.27,77.83,16311.75,2237,72.33,71.66,72.97,,,,,,,,,,,13175.7,2097,71.69,70.95,72.43000000000001
Fayette,48149,21845.85,3070,77.5,76.85000000000001,78.16,,,,,,,,,,,16528,2693,77.73,76.96000000000001,78.49,11270.6,1645,80.26000000000001,79.38,81.13,,,,,,,,,,,8581.549800000001,1451,80.81,79.83,81.79000000000001,10575.25,1425,74.68000000000001,73.74,75.62000000000001,,,,,,,,,,,7946.4502,1242,74.81,73.60000000000001,76.01000000000001
Fisher,48151,3199.45,550,74.75,73.02,76.47,,,,,,,,,,,2332.05,470,75.49,73.49,77.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd,48153,5686.5498,705,75.5,74.3,76.68000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Bend,48157,458813.44,20367,82.90000000000001,82.75,83.06,132711.41,3086,87.75,87.32000000000001,88.17,120306,4516,84.07000000000001,83.66,84.48,205796.05,12765,82.11,81.90000000000001,82.31,231963.2,10001,84.2,84,84.40000000000001,65955.648,1355,89.37000000000001,88.83,89.91,62551.551,2247,84.49,84,84.98,103456,6399,83.52,83.25,83.78,226850.25,10366,81.87000000000001,81.63,82.13,66755.75,1731,86.61,85.91,87.3,57754.449,2269,85.12000000000001,84.36,85.86,102340.05,6366,80.98,80.65000000000001,81.29000000000001
Franklin,48159,9726.799800000001,1123,77.72,76.78,78.67,,,,,,,,,,,8164.3999,1072,77.46000000000001,76.42,78.47,5009.3501,551,80.66,79.44,81.94,,,,,,,,,,,4242.3501,534,79.96000000000001,78.57000000000001,81.41,4717.4502,572,74.77,73.46000000000001,76.08,,,,,,,,,,,3922.05,538,75.08,73.7,76.5
Freestone,48161,18011.5,2076,76.16,75.45,76.87000000000001,,,,,,,,,,,12621.05,1662,75.98,75.15000000000001,76.8,8739.3496,1020,79.36,78.41,80.3,,,,,,,,,,,6267.2002,829,78.92,77.78,80.04000000000001,9272.1504,1056,73.23,72.24,74.2,,,,,,,,,,,6353.8501,833,73.33,72.16,74.5
Frio,48163,15926.8,1218,79.32000000000001,78.42,80.18000000000001,12885.1,828,81.11,80.01000000000001,82.2,,,,,,,,,,,7006.7002,555,82.5,81.19,83.85000000000001,,,,,,,,,,,,,,,,8920.0996,663,76.25,75.08,77.40000000000001,7033.2002,466,76.98,75.55,78.38,,,,,,,,,,
Gaines,48165,16525.199,1089,77.05,76.22,77.87000000000001,,,,,,,,,,,10069.2,815,76.79000000000001,75.74,77.77,8290.700199999999,526,79.68000000000001,78.52,80.79000000000001,,,,,,,,,,,5081.3999,404,79.71000000000001,78.37000000000001,80.97,8234.5,563,74.39,73.21000000000001,75.54000000000001,,,,,,,,,,,4987.7998,411,73.94,72.49,75.46000000000001
Galveston,48167,269024.94,23053,76.66,76.47,76.84,61738.449,2248,79.47,79.01000000000001,79.91,38386.75,4057,71.87000000000001,71.37000000000001,72.38,168899.75,16748,76.94,76.71000000000001,77.16,136168.8,10987,79.58,79.32000000000001,79.81,30464.35,977,82.51000000000001,81.88,83.13,20367.15,2009,75.45,74.78,76.13,85337.29700000001,8001,79.83,79.52,80.13,132856.16,12066,73.79000000000001,73.54000000000001,74.05,31274.1,1271,76.44,75.79000000000001,77.11,18019.6,2048,68.04000000000001,67.34,68.74,83562.45299999999,8747,74.18000000000001,73.87000000000001,74.5
Garza,48169,5457.5498,501,76.99,75.66,78.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gillespie,48171,22943.85,3190,81.18000000000001,80.56,81.77,,,,,,,,,,,18459.85,3019,80.91,80.17,81.61,12048.6,1661,83.78,82.98,84.57000000000001,,,,,,,,,,,9867.5,1598,83.29000000000001,82.3,84.21000000000001,10895.25,1529,78.51000000000001,77.61,79.42,,,,,,,,,,,8592.3496,1421,78.52,77.46000000000001,79.53
Goliad,48175,6732.5,711,80.15000000000001,78.99,81.33,,,,,,,,,,,4187.5498,528,79.82000000000001,78.36,81.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzales,48177,18182.75,1980,75.56,74.82000000000001,76.28,8985.799800000001,477,76.58,75.35000000000001,77.77,,,,,,7885.4502,1316,75.74,74.65000000000001,76.86,9132.200199999999,959,79.08,78.05,80.07000000000001,,,,,,,,,,,4065.3501,668,78.8,77.24,80.23,9050.549800000001,1021,72.24,71.21000000000001,73.24,,,,,,,,,,,3820.1001,648,72.90000000000001,71.39,74.52
Gray,48179,21245.4,2665,74.26000000000001,73.60000000000001,74.91,,,,,,,,,,,15196.45,2428,73.63,72.83,74.41,10153.3,1357,76.22,75.27,77.19,,,,,,,,,,,7680.5,1255,75.86,74.74,76.98,11092.1,1308,72.32000000000001,71.47,73.16,,,,,,,,,,,7515.9502,1173,71.51000000000001,70.46000000000001,72.55
Grayson,48181,110586.8,12885,75.65000000000001,75.38,75.93000000000001,,,,,,6137.8501,644,71.83,70.57000000000001,73.12000000000001,92523.898,12015,75.48,75.18000000000001,75.79000000000001,56833.449,6636,78.46000000000001,78.09,78.85000000000001,,,,,,,,,,,47785,6206,78.27,77.87000000000001,78.69,53753.352,6249,72.76000000000001,72.37000000000001,73.16,,,,,,,,,,,44738.898,5809,72.65000000000001,72.22,73.08
Gregg,48183,115544.3,12210,74.81,74.54000000000001,75.09,,,,,,23713,2291,70.8,70.17,71.44,73031.25,9622,75.07000000000001,74.73,75.41,59100.25,6290,77.61,77.23,77.98,,,,,,12479.3,1138,74.5,73.63,75.36,37838.102,5046,77.63,77.16,78.09,56444.051,5920,71.88,71.5,72.27,,,,,,11233.7,1153,66.99,66.11,67.91,35193.148,4576,72.40000000000001,71.92,72.87000000000001
Grimes,48185,24581.801,2438,76.99,76.33,77.64,,,,,,4203.8501,424,74.58,72.93000000000001,76.18000000000001,15208,1856,76.66,75.87000000000001,77.47,11507.7,1150,79.01000000000001,78.07000000000001,79.93000000000001,,,,,,,,,,,7346.7998,862,79.34,78.26000000000001,80.44,13074.1,1288,75.29000000000001,74.38,76.19,,,,,,,,,,,7861.2002,994,74.47,73.38,75.57000000000001
Guadalupe,48187,122235.2,8381,80.8,80.51000000000001,81.07000000000001,44834.102,1613,81.89,81.34,82.42,7521,465,79.58,78.39,80.74,69880.102,6303,80.39,80.02,80.74,61857.852,4052,83.28,82.89,83.64,22530.9,756,84.37000000000001,83.64,85.08,,,,,,35618.699,3077,82.96000000000001,82.48,83.41,60377.352,4329,78.28,77.85000000000001,78.67,22303.199,857,79.21000000000001,78.42,80,,,,,,34261.398,3226,77.88,77.37000000000001,78.40000000000001
Hale,48189,33938.949,2954,76.84,76.33,77.33,19914.6,817,77.65000000000001,76.81,78.47,,,,,,12241.2,1999,76.38,75.58,77.17,16475.551,1453,79.8,79.08,80.47,,,,,,,,,,,6171.3501,1034,79.93000000000001,78.88,80.89,17463.4,1501,73.99,73.31,74.66,10254.25,467,74.95,73.84,76.03,,,,,,6069.8501,965,72.95,71.84,74.03
Hall,48191,2847.3501,494,73.49,71.86,75.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,48193,7577.3999,1267,75.40000000000001,74.28,76.51000000000001,,,,,,,,,,,6902.2998,1246,75.10000000000001,73.89,76.29000000000001,3880.45,679,78.71000000000001,77.29000000000001,80.12000000000001,,,,,,,,,,,3559.95,673,78.28,76.73,79.81,3696.95,588,72.2,70.49,73.90000000000001,,,,,,,,,,,3342.3501,573,72.12000000000001,70.31,73.87000000000001
Hansford,48195,5105.7998,520,76.44,75.2,77.71000000000001,,,,,,,,,,,2803.75,444,76.3,74.61,77.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardeman,48197,3313.75,414,77.84,76.06,79.60000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardin,48199,51815.102,5193,75.2,74.79000000000001,75.60000000000001,,,,,,,,,,,46837.898,4811,75.33,74.92,75.75,26221.949,2570,77.7,77.13,78.25,,,,,,,,,,,23723.4,2393,77.73,77.15000000000001,78.3,25593.15,2623,72.68000000000001,72.11,73.25,,,,,,,,,,,23114.5,2418,72.96000000000001,72.38,73.56
Harris,48201,3757999.5,211631,78.87000000000001,78.82000000000001,78.93000000000001,1656524.1,36121,83.92,83.81,84.03,761758.8100000001,52927,75.25,75.12000000000001,75.38,1339716.8,122583,78.21000000000001,78.13,78.28,1883114,102874,81.23,81.16,81.3,803483.6899999999,15558,86.25,86.09,86.40000000000001,402560.41,26270,77.98,77.81,78.15000000000001,677069.88,61046,80.72,80.61,80.82000000000001,1874885.6,108757,76.42,76.34,76.49,853040.38,20563,81.44,81.27,81.61,359198.41,26657,72.26000000000001,72.07000000000001,72.44,662646.88,61537,75.73,75.62000000000001,75.85000000000001
Harrison,48203,62660.602,5928,76.13,75.73,76.52,,,,,,14117.4,1651,71.82000000000001,70.98,72.65000000000001,41948.898,4182,76.98,76.51000000000001,77.46000000000001,32085.551,2913,79.19,78.65000000000001,79.7,,,,,,7539,853,75.7,74.51000000000001,76.84,21409.1,2030,79.96000000000001,79.33,80.58,30575.051,3015,73.01000000000001,72.45,73.58,,,,,,6578.3999,798,67.64,66.48,68.82000000000001,20539.801,2152,74.08,73.42,74.78
Hartley,48205,5511.7002,428,81.5,80.25,82.71000000000001,,,,,,,,,,,3755.75,405,79.76000000000001,78.24,81.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haskell,48207,4954.9502,865,74.96000000000001,73.5,76.41,,,,,,,,,,,3601.95,759,74.35000000000001,72.38,76.2,,,,,,,,,,,,,,,,,,,,,2465.7,442,71.72,69.84,73.63,,,,,,,,,,,,,,,
Hays,48209,146331.16,7476,82.83,82.56,83.10000000000001,52774.949,1579,85.43000000000001,84.8,86.08,,,,,,88819.25,5677,82.40000000000001,82.09,82.71000000000001,72746.898,3692,84.40000000000001,84.05,84.75,26177.25,724,87.61,86.78,88.45,,,,,,44349.801,2866,83.78,83.35000000000001,84.18000000000001,73584.25,3784,81.40000000000001,80.99,81.81,26597.699,855,83.46000000000001,82.5,84.46000000000001,,,,,,44469.449,2811,81.22,80.75,81.69
Henderson,48213,72945.102,9398,75.56,75.21000000000001,75.92,,,,,,4398.2002,516,71.28,69.81,72.74,61154.75,8735,75.32000000000001,74.93000000000001,75.72,37206.352,4512,78.77,78.29000000000001,79.27,,,,,,,,,,,31391.949,4232,78.38,77.85000000000001,78.91,35738.75,4886,72.51000000000001,71.99,73.02,,,,,,,,,,,29762.801,4503,72.46000000000001,71.88,73.02
Hidalgo,48215,739215.5,35536,82.36,82.23,82.5,682062.8100000001,27971,81.16,81.02,81.3,,,,,,53870.301,7484,84.63,84.15000000000001,85.11,378166.09,16121,85.56,85.38,85.73,349505.94,12842,84.12000000000001,83.93000000000001,84.3,,,,,,27309.85,3248,88.85000000000001,88.19,89.49,361049.41,19415,79.08,78.89,79.28,332556.84,15129,78.02,77.82000000000001,78.23,,,,,,26560.449,4236,80.84,80.17,81.49
Hill,48217,31760.1,3996,75.48,74.95,76.01000000000001,,,,,,,,,,,24180.949,3612,75.08,74.45,75.72,16211.1,1923,78.83,78.10000000000001,79.55,,,,,,,,,,,12481.3,1745,78.59,77.75,79.42,15549,2073,72.32000000000001,71.59,73.06,,,,,,,,,,,11699.65,1867,71.91,71.02,72.82000000000001
Hockley,48219,20900.199,1976,75.42,74.8,76.06,9551.5,485,74.01000000000001,72.93000000000001,75.03,,,,,,10667.3,1420,75.76000000000001,74.87000000000001,76.63,10558.4,985,78.35000000000001,77.48,79.2,,,,,,,,,,,5458.1001,737,78.85000000000001,77.68000000000001,79.93000000000001,10341.8,991,72.48,71.59,73.38,,,,,,,,,,,5209.2002,683,72.81,71.52,74.08
Hood,48221,47742.398,5728,78.13,77.71000000000001,78.56,,,,,,,,,,,43072.898,5613,77.78,77.33,78.24,24387.699,2799,80.64,80.06,81.2,,,,,,,,,,,22200.65,2749,80.41,79.79000000000001,81.01000000000001,23354.699,2929,75.65000000000001,75.05,76.26000000000001,,,,,,,,,,,20872.25,2864,75.29000000000001,74.63,75.94
Hopkins,48223,32642.85,3476,76.3,75.79000000000001,76.79000000000001,,,,,,,,,,,25562.85,3117,76.12000000000001,75.56,76.7,16545.051,1740,79.35000000000001,78.67,80,,,,,,,,,,,13140,1590,79.2,78.43000000000001,79.93000000000001,16097.8,1736,73.29000000000001,72.57000000000001,74.02,,,,,,,,,,,12422.85,1528,73.13,72.28,73.96000000000001
Houston,48225,22167.65,2986,75.47,74.87000000000001,76.09,,,,,,6031.2998,647,72.83,71.57000000000001,74.11,13939.6,2297,75.93000000000001,75.16,76.7,10354.4,1517,77.09,76.21000000000001,78.01000000000001,,,,,,,,,,,6846.8501,1173,78.17,77.11,79.25,11813.25,1469,73.97,73.15000000000001,74.82000000000001,,,,,,,,,,,7092.75,1124,73.90000000000001,72.83,74.99
Howard,48227,33042.148,3665,74.63,74.10000000000001,75.13,13092.45,706,77.19,76.17,78.17,,,,,,18053.051,2794,73.49,72.77,74.2,15134.05,1686,77.38,76.62000000000001,78.12000000000001,,,,,,,,,,,8929.799800000001,1304,76.86,75.83,77.87000000000001,17908.1,1979,72.21000000000001,71.54000000000001,72.89,7514.75,409,75.97,74.45,77.46000000000001,,,,,,9123.25,1490,70.62000000000001,69.65000000000001,71.62000000000001
Hunt,48231,78386.75,8132,75.29000000000001,74.96000000000001,75.63,,,,,,6475.75,649,69.8,68.57000000000001,71.07000000000001,61571.602,7253,75.3,74.93000000000001,75.68000000000001,39622.602,3942,78.17,77.7,78.62000000000001,,,,,,,,,,,31342.15,3548,78.22,77.71000000000001,78.73,38764.148,4190,72.5,72.03,72.97,,,,,,,,,,,30229.449,3705,72.53,71.99,73.08
Hutchinson,48233,20250.699,2449,73.83,73.16,74.49,,,,,,,,,,,15792.25,2266,73.46000000000001,72.71000000000001,74.2,10247.2,1216,75.86,74.97,76.79000000000001,,,,,,,,,,,8057.2998,1126,75.42,74.39,76.48,10003.5,1233,71.78,70.88,72.7,,,,,,,,,,,7734.9502,1140,71.57000000000001,70.56,72.59
Jack,48237,8351.450199999999,864,76.11,75.03,77.13,,,,,,,,,,,6815.3501,839,74.88,73.66,76.15000000000001,3712.95,434,77.83,76.21000000000001,79.41,,,,,,,,,,,3194.8501,425,77,75.21000000000001,78.79000000000001,4638.5,430,74.31,72.91,75.64,,,,,,,,,,,3620.5,414,73.13,71.45,74.7
Jackson,48239,13094.2,1457,76.24,75.42,77.09,,,,,,,,,,,8387.3496,1071,77.47,76.42,78.51000000000001,6695.3999,692,79.97,78.84,81.12000000000001,,,,,,,,,,,4301.2002,514,81.05,79.56,82.5,6398.7998,765,72.7,71.53,73.89,,,,,,,,,,,4086.1499,557,74,72.52,75.44
Jasper,48241,34068.449,3877,75.42,74.91,75.93000000000001,,,,,,5862.25,606,71.06,69.78,72.39,26438.051,3246,75.92,75.35000000000001,76.5,17561.85,1902,77.92,77.19,78.61,,,,,,,,,,,13666.95,1586,78.49,77.7,79.27,16506.6,1975,72.91,72.22,73.62000000000001,,,,,,,,,,,12771.1,1660,73.37000000000001,72.58,74.17
Jefferson,48245,239359.7,24124,75.81,75.62000000000001,76.01000000000001,41227.852,887,90.97,90.07000000000001,91.87000000000001,85924.148,7919,72.82000000000001,72.47,73.16,112207.7,15318,76.12000000000001,75.84,76.39,119560.8,11923,78.67,78.40000000000001,78.94,,,,,,43986.949,3781,76.07000000000001,75.58,76.53,56878.5,7781,78.91,78.53,79.3,119798.9,12201,72.98,72.7,73.25,22532.5,526,89.94,88.49,91.34,41937.199,4138,69.58,69.11,70.06,55329.199,7537,73.37000000000001,72.99,73.76000000000001
Jim Hogg,48247,4834.4502,523,75.3,74.02,76.52,4577.8999,478,75.48,74.10000000000001,76.76000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Wells,48249,39444.699,3685,75.11,74.62000000000001,75.60000000000001,31865.1,2581,75.08,74.51000000000001,75.64,,,,,,7429.25,1083,75.22,74.17,76.32000000000001,20106.301,1706,78.91,78.23,79.57000000000001,16244.45,1203,78.87000000000001,78.10000000000001,79.60000000000001,,,,,,3793.25,493,78.57000000000001,77.04000000000001,80.09,19338.4,1979,71.44,70.75,72.13,15620.65,1378,71.3,70.51000000000001,72.11,,,,,,3636,590,72.26000000000001,70.76000000000001,73.68000000000001
Johnson,48251,141548.7,11581,76.99,76.73,77.23,25317.35,534,84.44,83.29000000000001,85.54000000000001,,,,,,113018.2,10792,76.49,76.22,76.76000000000001,71208.54700000001,5653,79.41,79.06,79.74,,,,,,,,,,,57468.148,5290,79.09,78.71000000000001,79.45,70340.148,5928,74.58,74.22,74.93000000000001,,,,,,,,,,,55550.051,5502,73.97,73.58,74.36
Jones,48253,18316.449,1901,76.84,76.15000000000001,77.5,,,,,,,,,,,11495.55,1603,75.3,74.41,76.18000000000001,7451.1001,929,79,77.99,80.01000000000001,,,,,,,,,,,5491.3501,812,78.27,77.04000000000001,79.54000000000001,10865.35,972,75.10000000000001,74.18000000000001,76,,,,,,,,,,,6004.2002,791,72.81,71.56,73.99
Karnes,48255,13815,1492,75.35000000000001,74.54000000000001,76.15000000000001,7052.6499,603,73.26000000000001,72.14,74.34,,,,,,5360.4502,846,76.08,74.61,77.40000000000001,5416.6001,674,78.39,77.13,79.67,,,,,,,,,,,,,,,,8398.4004,818,72.92,71.90000000000001,73.88,,,,,,,,,,,2908.3999,453,73.12000000000001,71.40000000000001,74.76000000000001
Kaufman,48257,94977.54700000001,7905,76.35000000000001,76.04000000000001,76.66,,,,,,9816.450199999999,894,72.14,71.15000000000001,73.15000000000001,69174.648,6743,76.29000000000001,75.94,76.63,48295.852,3920,78.76000000000001,78.34,79.16,,,,,,5113.5498,439,74.36,73,75.66,35324.5,3371,78.78,78.31,79.22,46681.699,3985,73.92,73.48,74.35000000000001,,,,,,4702.8999,455,69.96000000000001,68.56,71.37000000000001,33850.148,3372,73.82000000000001,73.32000000000001,74.31
Kendall,48259,31361.9,2965,80.13,79.63,80.63,,,,,,,,,,,24936.051,2719,80.16,79.63,80.71000000000001,15982.15,1545,82.24,81.56,82.90000000000001,,,,,,,,,,,12862.65,1440,82.13,81.41,82.86,15379.75,1420,78.02,77.29000000000001,78.78,,,,,,,,,,,12073.4,1279,78.25,77.46000000000001,79.10000000000001
Kerr,48265,46523.75,6673,78.46000000000001,78.02,78.91,11052.45,513,79.27,78.12000000000001,80.40000000000001,,,,,,34744.949,6072,78.36,77.83,78.89,24102.449,3165,82.58,82.03,83.13,,,,,,,,,,,18266.15,2897,82.66,82.05,83.28,22421.301,3508,74.5,73.84,75.16,,,,,,,,,,,16478.801,3175,74.31,73.53,75.09
Kimble,48267,3894.1001,583,76.04000000000001,74.5,77.53,,,,,,,,,,,3005.2,515,75.92,73.98,77.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleberg,48273,30415.9,2336,77.40000000000001,76.86,77.94,22254.25,1476,76.64,76.01000000000001,77.26000000000001,,,,,,7119.8999,777,78.98,77.89,80.02,14980.1,1107,80.61,79.86,81.40000000000001,11132.6,701,79.78,78.91,80.65000000000001,,,,,,,,,,,15435.8,1229,74.26000000000001,73.54000000000001,74.96000000000001,11121.65,775,73.43000000000001,72.60000000000001,74.27,,,,,,3736.25,411,76.08,74.75,77.39
Knox,48275,3078.8501,526,74.95,73.35000000000001,76.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Salle,48283,6152.5498,498,78.56,77.33,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar,48277,46241.648,5878,74.45,74.03,74.88,,,,,,6371.5,671,70.66,69.5,71.8,37129.398,5168,74.58,74.11,75.07000000000001,24037.051,3032,77.23,76.65000000000001,77.81,,,,,,,,,,,19267.65,2679,77.35000000000001,76.72,77.98,22204.6,2846,71.59,70.99,72.2,,,,,,,,,,,17861.75,2489,71.82000000000001,71.12000000000001,72.49
Lamb,48279,12438.4,1576,73.75,72.90000000000001,74.61,,,,,,,,,,,5069.75,1102,73.71000000000001,72.33,75.08,6304,775,77.26000000000001,76.08,78.39,,,,,,,,,,,2684.8501,583,76.40000000000001,74.38,78.22,6134.3999,801,70.37000000000001,69.2,71.57000000000001,,,,,,,,,,,2384.8999,519,71.05,69.11,72.91
Lampasas,48281,17962.051,1967,76.60000000000001,75.89,77.28,,,,,,,,,,,14416.75,1781,76.60000000000001,75.83,77.36,9142.5,1010,78.63,77.63,79.58,,,,,,,,,,,7386.2002,911,78.89,77.85000000000001,79.92,8819.549800000001,957,74.51000000000001,73.58,75.46000000000001,,,,,,,,,,,7030.5498,870,74.27,73.21000000000001,75.39
Lavaca,48285,17569.051,2397,78.27,77.57000000000001,78.96000000000001,,,,,,,,,,,13798.15,2084,78.90000000000001,78.13,79.68000000000001,9080.75,1226,81.39,80.40000000000001,82.36,,,,,,,,,,,7164.0498,1068,81.92,80.79000000000001,82.99,8488.299800000001,1171,75.17,74.22,76.14,,,,,,,,,,,6634.1001,1016,75.98,74.94,77.01000000000001
Lee,48287,15230.85,1549,77.77,77.02,78.5,,,,,,,,,,,10168.1,1277,77.76000000000001,76.87000000000001,78.65000000000001,7622.0498,748,80.90000000000001,79.88,81.88,,,,,,,,,,,5171.8999,620,80.79000000000001,79.55,82.01000000000001,7608.7998,801,74.76000000000001,73.67,75.83,,,,,,,,,,,4996.2002,657,74.90000000000001,73.60000000000001,76.16
Leon,48289,15355.5,2054,75.7,74.88,76.5,,,,,,,,,,,12262.65,1801,75.28,74.33,76.2,7786,988,78.73,77.63,79.86,,,,,,,,,,,6218.9502,849,78.41,77.11,79.71000000000001,7569.5,1066,72.84,71.67,74.04000000000001,,,,,,,,,,,6043.7002,952,72.36,71.05,73.74
Liberty,48291,71427.70299999999,6975,73.54000000000001,73.2,73.88,,,,,,7915.1499,766,72.59,71.54000000000001,73.65000000000001,50715.5,5974,72.62000000000001,72.22,73.03,36431.25,3329,76.3,75.83,76.77,,,,,,,,,,,25986.551,2846,75.67,75.12000000000001,76.24,34996.449,3646,70.85000000000001,70.38,71.33,,,,,,,,,,,24728.949,3128,69.74,69.16,70.33
Limestone,48293,21448,2703,73.8,73.15000000000001,74.44,,,,,,3917.25,434,71.64,70.08,73.17,13416.95,2175,73.27,72.45,74.10000000000001,10510.05,1344,77.16,76.32000000000001,78.03,,,,,,,,,,,6722.0498,1087,76.7,75.62000000000001,77.84,10937.95,1359,70.77,69.85000000000001,71.66,,,,,,,,,,,6694.8999,1088,70.2,69.03,71.37000000000001
Live Oak,48297,10623.75,1048,81.96000000000001,80.79000000000001,83.07000000000001,,,,,,,,,,,6307.2998,769,81.32000000000001,79.87000000000001,82.74,5078.25,464,85.77,84.19,87.36,,,,,,,,,,,,,,,,5545.5,584,78.75,77.11,80.32000000000001,,,,,,,,,,,,,,,
Llano,48299,17243.65,2830,78.27,77.37000000000001,79.15000000000001,,,,,,,,,,,16005.55,2762,77.98,77.01000000000001,78.91,8942.299800000001,1376,81.56,80.32000000000001,82.78,,,,,,,,,,,8308.75,1345,81.15000000000001,79.83,82.47,8301.3496,1454,75.08,73.82000000000001,76.29000000000001,,,,,,,,,,,7696.7998,1417,74.94,73.58,76.22
Lubbock,48303,262415.81,21556,76.75,76.56,76.93000000000001,86468.70299999999,3855,75.85000000000001,75.48,76.22,19073.85,1745,69.96000000000001,69.22,70.71000000000001,156873.25,15956,77.73,77.5,77.95,132725.45,10753,79.44,79.19,79.69,43155.199,1649,78.98,78.46000000000001,79.51000000000001,9761.4004,813,73.54000000000001,72.5,74.62000000000001,79808.852,8291,80.15000000000001,79.84,80.45,129690.35,10803,73.97,73.71000000000001,74.23,43313.5,2206,72.82000000000001,72.31,73.34,9312.450199999999,932,66.61,65.59,67.62000000000001,77064.398,7665,75.22,74.91,75.53
Lynn,48305,5001.0498,550,74.35000000000001,72.96000000000001,75.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison,48313,12909.95,1262,77.07000000000001,76.22,77.89,,,,,,,,,,,7619.7002,1033,76.75,75.72,77.76000000000001,5403.2998,607,79.79000000000001,78.61,80.94,,,,,,,,,,,3650.1499,518,78.92,77.39,80.34,7506.6499,655,74.64,73.54000000000001,75.74,,,,,,,,,,,3969.55,515,74.66,73.24,76.06
Marion,48315,9501.75,1563,73.02,72.05,74,,,,,,,,,,,6988.8999,1185,73.86,72.75,75.01000000000001,4848.3999,738,76.44,75.07000000000001,77.86,,,,,,,,,,,3507,555,76.78,75.19,78.46000000000001,4653.3501,825,69.8,68.46000000000001,71.10000000000001,,,,,,,,,,,3481.8999,630,71.23,69.75,72.72
